,date,Stock,compound,neg,neu,pos
283,2021-04-11,BAC,0.2263,0.0,0.881,0.119
284,2021-04-16,BAC,0.33575,0.0,0.7735000000000001,0.2265
285,2021-04-18,BAC,0.34,0.0,0.676,0.324
286,2021-04-19,BAC,0.5106,0.0,0.732,0.268
287,2021-04-21,BAC,0.0,0.0,1.0,0.0
288,2021-04-29,BAC,0.0,0.0,1.0,0.0
289,2021-05-05,BAC,0.3182,0.086,0.757,0.157
290,2021-05-12,BAC,0.1531,0.0,0.849,0.151
291,2021-05-19,BAC,0.2263,0.0,0.759,0.241
292,2021-05-24,BAC,0.6705,0.0,0.621,0.379
293,2021-05-31,BAC,-0.2144,0.188,0.812,0.0
294,2021-06-01,BAC,0.0,0.0,1.0,0.0
295,2021-06-02,BAC,0.4588,0.113,0.595,0.292
296,2021-06-03,BAC,0.0,0.0,1.0,0.0
297,2021-06-07,BAC,-0.39225,0.2235,0.7765,0.0
298,2021-06-08,BAC,0.0,0.0,1.0,0.0
299,2021-06-10,BAC,0.0,0.0,1.0,0.0
300,2021-06-11,BAC,0.0,0.0,1.0,0.0
301,2021-06-14,BAC,0.0,0.0,1.0,0.0
302,2021-06-18,BAC,0.0,0.0,1.0,0.0
303,2021-06-19,BAC,0.3612,0.195,0.407,0.398
304,2021-06-20,BAC,-0.34255,0.178,0.7755000000000001,0.0465
305,2021-06-22,BAC,0.743,0.0,0.526,0.474
306,2021-06-24,BAC,0.5859,0.0,0.759,0.241
307,2021-06-28,BAC,-0.4939,0.516,0.484,0.0
308,2021-07-01,BAC,0.25,0.0,0.778,0.222
309,2021-07-05,BAC,0.0,0.0,1.0,0.0
310,2021-07-06,BAC,0.25,0.0,0.818,0.182
311,2021-07-08,BAC,0.4588,0.0,0.7,0.3
312,2021-07-09,BAC,0.34,0.0,0.676,0.324
313,2021-07-14,BAC,0.0,0.0,1.0,0.0
314,2021-07-15,BAC,0.62075,0.0,0.7005,0.2995
315,2021-07-16,BAC,0.0,0.0,1.0,0.0
316,2021-07-17,BAC,-0.128,0.18,0.677,0.143
317,2021-07-18,BAC,0.5106,0.0,0.708,0.292
318,2021-07-22,BAC,0.25,0.0,0.778,0.222
319,2021-07-29,BAC,0.4767,0.0,0.795,0.205
320,2021-07-30,BAC,0.3818,0.0,0.66,0.34
321,2021-08-02,BAC,0.5994,0.0,0.741,0.259
322,2021-08-03,BAC,0.0,0.0,1.0,0.0
323,2021-08-06,BAC,0.0,0.087,0.8089999999999999,0.104
324,2021-08-09,BAC,0.0772,0.0,0.698,0.302
325,2021-08-11,BAC,0.6486,0.0,0.782,0.218
326,2021-08-17,BAC,0.0,0.0,1.0,0.0
327,2021-08-18,BAC,0.12040000000000001,0.0,0.9383333333333334,0.06166666666666667
328,2021-08-20,BAC,-0.4939,0.444,0.556,0.0
329,2021-08-23,BAC,-0.1591,0.0865,0.9135,0.0
330,2016-10-25,CRM,-0.3182,0.223,0.647,0.129
331,2019-04-24,CRM,0.0,0.0,1.0,0.0
332,2020-03-25,CRM,0.4767,0.0,0.744,0.256
333,2020-06-10,CRM,0.0,0.0,1.0,0.0
334,2020-07-23,CRM,0.3182,0.0,0.859,0.141
335,2020-10-06,CRM,0.2023,0.0,0.87,0.13
336,2020-10-13,CRM,0.0,0.0,1.0,0.0
337,2020-11-09,CRM,0.0,0.0,1.0,0.0
338,2020-11-12,CRM,0.0,0.0,1.0,0.0
339,2020-12-02,CRM,0.34,0.0,0.789,0.211
340,2020-12-10,CRM,0.0,0.0,1.0,0.0
341,2020-12-14,CRM,0.3818,0.0,0.794,0.206
342,2020-12-15,CRM,0.0,0.0,1.0,0.0
343,2021-01-04,CRM,0.2732,0.0,0.588,0.412
344,2021-01-12,CRM,0.31245,0.0,0.7475,0.2525
345,2021-01-22,CRM,0.0,0.0,1.0,0.0
346,2021-01-26,CRM,0.25,0.0,0.667,0.333
347,2021-02-01,CRM,0.3612,0.0,0.762,0.238
348,2021-02-10,CRM,0.0,0.0,1.0,0.0
349,2021-02-12,CRM,0.6428,0.0,0.677,0.323
350,2021-02-18,CRM,0.0,0.0,1.0,0.0
351,2021-02-23,CRM,0.0,0.0,1.0,0.0
352,2021-02-25,CRM,0.4019,0.0,0.828,0.172
353,2021-02-26,CRM,0.2382,0.113,0.707,0.18
354,2021-03-01,CRM,-0.296,0.306,0.694,0.0
355,2021-03-15,CRM,0.4404,0.0,0.775,0.225
356,2021-03-23,CRM,0.0,0.0,1.0,0.0
357,2021-03-29,CRM,0.0,0.0,1.0,0.0
358,2021-03-30,CRM,0.0,0.0,1.0,0.0
359,2021-04-02,CRM,0.5719,0.0,0.619,0.381
360,2021-04-05,CRM,0.3716,0.0,0.758,0.242
361,2021-04-07,CRM,0.0,0.0,1.0,0.0
362,2021-04-28,CRM,0.4205,0.0,0.7424999999999999,0.2575
363,2021-04-30,CRM,0.0,0.0,1.0,0.0
364,2021-05-03,CRM,0.0,0.0,1.0,0.0
365,2021-05-06,CRM,0.0,0.0,1.0,0.0
366,2021-05-08,CRM,0.0,0.0,1.0,0.0
367,2021-05-10,CRM,0.0,0.0,1.0,0.0
368,2021-05-16,CRM,0.4754,0.0,0.618,0.382
369,2021-05-17,CRM,-0.3041,0.142,0.858,0.0
370,2021-05-24,CRM,0.0,0.0,1.0,0.0
371,2021-05-27,CRM,0.0,0.0,1.0,0.0
372,2021-06-01,CRM,0.0,0.0,1.0,0.0
373,2021-06-02,CRM,0.0,0.0,1.0,0.0
374,2021-06-03,CRM,0.2861666666666667,0.0,0.9016666666666667,0.09833333333333333
375,2021-06-09,CRM,0.1027,0.0,0.903,0.097
376,2021-06-11,CRM,0.0,0.0,1.0,0.0
377,2021-06-15,CRM,0.1909,0.0,0.9215,0.0785
378,2021-06-18,CRM,0.4588,0.0,0.87,0.13
